delegacion,ano,detecciones,fecha,fn_ano
     Nayarit,2011 (2),693846,2011-01-01,
     Nuevo León,2011 (2),4931446,2011-01-01,
     Oaxaca,2011 (2),688209,2011-01-01,
     Puebla,2011 (2),1911002,2011-01-01,
     Querétaro,2011 (2),992895,2011-01-01,
     Quintana Roo,2011 (2),599634,2011-01-01,
     San Luis Potosí,2011 (2),1311767,2011-01-01,
     Sinaloa,2011 (2),2050133,2011-01-01,
     Sonora,2011 (2),1681279,2011-01-01,
     Tabasco,2011 (2),529598,2011-01-01,
     Tamaulipas,2011 (2),1887370,2011-01-01,
     Tlaxcala,2011 (2),437425,2011-01-01,
     Veracruz Norte,2011 (2),2090511,2011-01-01,
     Veracruz Sur,2011 (2),1311204,2011-01-01,
     Yucatán,2011 (2),1130918,2011-01-01,
     Zacatecas,2011 (2),412669,2011-01-01,
     Aguascalientes,2012 (3),1154849,2012-01-01,
     Baja California,2012 (3),2772879,2012-01-01,
     Baja California Sur,2012 (3),697879,2012-01-01,
     Campeche,2012 (3),507244,2012-01-01,
     Coahuila ,2012 (3),2631079,2012-01-01,
     Colima,2012 (3),567890,2012-01-01,
     Chiapas,2012 (3),928110,2012-01-01,
     Chihuahua,2012 (3),2608869,2012-01-01,
     D.F. Norte,2012 (3),3116523,2012-01-01,
     D.F. Sur,2012 (3),4431803,2012-01-01,
     Durango,2012 (3),1508586,2012-01-01,
     Guanajuato,2012 (3),2848146,2012-01-01,
     Guerrero,2012 (3),963795,2012-01-01,
     Hidalgo,2012 (3),1013844,2012-01-01,
     Jalisco,2012 (3),5217465,2012-01-01,
     México Oriente,2012 (3),6404166,2012-01-01,
     México Poniente,2012 (3),2807284,2012-01-01,
     Michoacán,2012 (3),1713667,2012-01-01,
     Morelos,2012 (3),1044330,2012-01-01,
     Nayarit,2012 (3),727306,2012-01-01,
     Nuevo León,2012 (3),5494337,2012-01-01,
     Oaxaca,2012 (3),701806,2012-01-01,
     Puebla,2012 (3),1986723,2012-01-01,
     Querétaro,2012 (3),989785,2012-01-01,
     Quintana Roo,2012 (3),677431,2012-01-01,
     San Luis Potosí,2012 (3),1371223,2012-01-01,
     Sinaloa,2012 (3),2237245,2012-01-01,
     Sonora,2012 (3),1967295,2012-01-01,
     Tabasco,2012 (3),748395,2012-01-01,
     Tamaulipas,2012 (3),2123998,2012-01-01,
     Tlaxcala,2012 (3),493472,2012-01-01,
     Veracruz Norte,2012 (3),2357515,2012-01-01,
     Veracruz Sur,2012 (3),1576190,2012-01-01,
     Yucatán,2012 (3),1295299,2012-01-01,
     Zacatecas,2012 (3),412971,2012-01-01,
     Aguascalientes,2013 (3),1027115,2013-01-01,
     Baja California,2013 (3),2772531,2013-01-01,
     Baja California Sur,2013 (3),752114,2013-01-01,
     Campeche,2013 (3),523461,2013-01-01,
     Coahuila ,2013 (3),2685744,2013-01-01,
     Colima,2013 (3),516827,2013-01-01,
     Chiapas,2013 (3),918003,2013-01-01,
     Chihuahua,2013 (3),2579759,2013-01-01,
     D.F. Norte,2013 (3),3166273,2013-01-01,
     D.F. Sur,2013 (3),5150030,2013-01-01,
     Durango,2013 (3),1480090,2013-01-01,
     Guanajuato,2013 (3),2750416,2013-01-01,
     Guerrero,2013 (3),1009999,2013-01-01,
     Hidalgo,2013 (3),966076,2013-01-01,
     Jalisco,2013 (3),5383043,2013-01-01,
     México Oriente,2013 (3),6209851,2013-01-01,
     México Poniente,2013 (3),2716608,2013-01-01,
     Michoacán,2013 (3),1655973,2013-01-01,
     Morelos,2013 (3),1017215,2013-01-01,
     Nayarit,2013 (3),733705,2013-01-01,
     Nuevo León,2013 (3),6077938,2013-01-01,
     Oaxaca,2013 (3),674034,2013-01-01,
     Puebla,2013 (3),1964193,2013-01-01,
     Querétaro,2013 (3),1092859,2013-01-01,
     Quintana Roo,2013 (3),708683,2013-01-01,
     San Luis Potosí,2013 (3),1411935,2013-01-01,
     Sinaloa,2013 (3),2343625,2013-01-01,
     Sonora,2013 (3),2054620,2013-01-01,
     Tabasco,2013 (3),828150,2013-01-01,
     Tamaulipas,2013 (3),2454186,2013-01-01,
     Tlaxcala,2013 (3),478647,2013-01-01,
     Veracruz Norte,2013 (3),2406934,2013-01-01,
     Veracruz Sur,2013 (3),1392226,2013-01-01,
     Yucatán,2013 (3),1236780,2013-01-01,
     Zacatecas,2013 (3),433773,2013-01-01,
     Aguascalientes,2014 (3),1095303,2014-01-01,
     Baja California,2014 (3),2705576,2014-01-01,
     Baja California Sur,2014 (3),618966,2014-01-01,
     Campeche,2014 (3),501281,2014-01-01,
     Coahuila ,2014 (3),2445913,2014-01-01,
     Colima,2014 (3),521305,2014-01-01,
     Chiapas,2014 (3),890797,2014-01-01,
     Chihuahua,2014 (3),2506296,2014-01-01,
     D.F. Norte,2014 (3),3111610,2014-01-01,
     D.F. Sur,2014 (3),4671797,2014-01-01,
     Durango,2014 (3),1205075,2014-01-01,
     Guanajuato,2014 (3),2133164,2014-01-01,
     Guerrero,2014 (3),1010101,2014-01-01,
     Hidalgo,2014 (3),932506,2014-01-01,
     Jalisco,2014 (3),5142075,2014-01-01,
     México Oriente,2014 (3),5372945,2014-01-01,
     México Poniente,2014 (3),2678511,2014-01-01,
     Michoacán,2014 (3),1513468,2014-01-01,
     Morelos,2014 (3),880190,2014-01-01,
     Nayarit,2014 (3),738425,2014-01-01,
     Nuevo León,2014 (3),5615054,2014-01-01,
     Oaxaca,2014 (3),683267,2014-01-01,
     Puebla,2014 (3),1844388,2014-01-01,
     Querétaro,2014 (3),1046699,2014-01-01,
     Quintana Roo,2014 (3),685584,2014-01-01,
     San Luis Potosí,2014 (3),1673573,2014-01-01,
     Sinaloa,2014 (3),1902987,2014-01-01,
     Sonora,2014 (3),1944453,2014-01-01,
     Tabasco,2014 (3),786634,2014-01-01,
     Tamaulipas,2014 (3),2397317,2014-01-01,
     Tlaxcala,2014 (3),487896,2014-01-01,
     Veracruz Norte,2014 (3),2186742,2014-01-01,
     Veracruz Sur,2014 (3),1228098,2014-01-01,
     Yucatán,2014 (3),1173235,2014-01-01,
     Zacatecas,2014 (3),418957,2014-01-01,
     Aguascalientes,2015 (3),1229067,2015-01-01,
     Baja California,2015 (3),3106261,2015-01-01,
     Baja California Sur,2015 (3),597622,2015-01-01,
     Campeche,2015 (3),554331,2015-01-01,
     Coahuila ,2015 (3),2830690,2015-01-01,
     Colima,2015 (3),559042,2015-01-01,
     Chiapas,2015 (3),998778,2015-01-01,
     Chihuahua,2015 (3),2469943,2015-01-01,
     D.F. Norte,2015 (3),3950488,2015-01-01,
     D.F. Sur,2015 (3),4592542,2015-01-01,
     Durango,2015 (3),1167398,2015-01-01,
     Guanajuato,2015 (3),1962185,2015-01-01,
     Guerrero,2015 (3),1068519,2015-01-01,
     Hidalgo,2015 (3),955883,2015-01-01,
     Jalisco,2015 (3),5371616,2015-01-01,
     México Oriente,2015 (3),5462159,2015-01-01,
     México Poniente,2015 (3),2797372,2015-01-01,
     Michoacán,2015 (3),1757748,2015-01-01,
     Morelos,2015 (3),649660,2015-01-01,
     Nayarit,2015 (3),751208,2015-01-01,
     Nuevo León,2015 (3),6153203,2015-01-01,
     Oaxaca,2015 (3),709063,2015-01-01,
     Puebla,2015 (3),2593181,2015-01-01,
